,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
Output_1,18,0.07645764350891113,0.007200479149198702,0.036576128005981444,0.005726619683802342,1,0.1,0.01,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.03897971637129705,-0.04138017577886782,-0.04373280874365539,-0.04122486573437205,-0.03700345852592943,-0.040464205030824346,0.0022926774871374054,15
Output_1,19,0.05809354782104492,0.006298967068132224,0.022716474533081055,0.0067431684639654675,1,0.1,0.1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.014816274889204749,-0.016581211438018374,-0.017215543935730764,-0.016588979372753256,-0.014181977788040003,-0.01587679748474943,0.001165569912033667,9
Output_1,20,0.022611331939697266,0.006985333787041977,0.0062487125396728516,0.0076530786658461055,1,0.1,1,rbf,"{'C': 1, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",-0.004752476681588152,-0.004998549587268619,-0.005012563889337014,-0.004800797863177239,-0.004446664528170094,-0.004802210509908224,0.0002057600407834968,6
Output_1,21,0.0,0.0,0.0,0.0,1,1,0.01,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
Output_1,22,0.0,0.0,0.0,0.0,1,1,0.1,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
Output_1,23,0.0,0.0,0.0031176090240478517,0.0062352180480957035,1,1,1,rbf,"{'C': 1, 'epsilon': 1, 'gamma': 1, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
Output_1,24,0.0,0.0,0.0,0.0,1,10,0.01,rbf,"{'C': 1, 'epsilon': 10, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349877,-0.04976907132173697,-0.05063734644974418,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299996,28
Output_1,25,0.0031242847442626955,0.006248569488525391,0.0,0.0,1,10,0.1,rbf,"{'C': 1, 'epsilon': 10, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04735675437349877,-0.04976907132173697,-0.05063734644974418,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299996,28
Output_1,26,0.0,0.0,0.0,0.0,1,10,1,rbf,"{'C': 1, 'epsilon': 10, 'gamma': 1, 'kernel': 'rbf'}",-0.04735675437349877,-0.04976907132173697,-0.05063734644974418,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299996,28
Output_1,27,0.0,0.0,0.0,0.0,1,20,0.01,rbf,"{'C': 1, 'epsilon': 20, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349871,-0.049769071321736955,-0.050637346449744165,-0.04799597629067275,-0.04314973717562626,-0.04778177712225577,0.0025994589478299966,19
Output_1,28,0.003124237060546875,0.00624847412109375,0.0,0.0,1,20,0.1,rbf,"{'C': 1, 'epsilon': 20, 'gamma': 0.1, 'kernel': 'rbf'}",-0.04735675437349871,-0.049769071321736955,-0.050637346449744165,-0.04799597629067275,-0.04314973717562626,-0.04778177712225577,0.0025994589478299966,19
Output_1,29,0.0,0.0,0.0,0.0,1,20,1,rbf,"{'C': 1, 'epsilon': 20, 'gamma': 1, 'kernel': 'rbf'}",-0.04735675437349871,-0.049769071321736955,-0.050637346449744165,-0.04799597629067275,-0.04314973717562626,-0.04778177712225577,0.0025994589478299966,19
Output_1,30,0.10746607780456544,0.006026214927102127,0.05295352935791016,0.0069531709633378555,10,0.01,0.01,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.01706373258903992,-0.01831120721775705,-0.019794263233370916,-0.01853453977875623,-0.0173056624582093,-0.018201881055426684,0.0009753855383537717,11
Output_1,31,0.12235965728759765,0.006006892486700249,0.039917278289794925,0.007713100015398772,10,0.01,0.1,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.002875174466195927,-0.0028869236031707646,-0.003331273890262697,-0.002965154418838445,-0.0026843208094239975,-0.002948569437578366,0.00021248629504667574,4
Output_1,32,0.2065197467803955,0.01190226516778818,0.01560349464416504,3.782806608830875e-05,10,0.01,1,rbf,"{'C': 10, 'epsilon': 0.01, 'gamma': 1, 'kernel': 'rbf'}",-0.00033874412791134464,-0.0003290593697789856,-0.0003119500079776742,-0.00025964663064005834,-0.00033585784499629375,-0.0003150515962608713,2.9222538653257576e-05,1
Output_1,33,0.06267509460449219,0.007670701376632736,0.03098011016845703,0.0005287604439729234,10,0.1,0.01,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.019975053616300368,-0.02183907424882162,-0.023099360057896128,-0.02204477763606628,-0.019677466108974574,-0.021327146333611793,0.0013013382282051854,12
Output_1,34,0.03436708450317383,0.00624835516539259,0.006248664855957031,0.007653020236863752,10,0.1,0.1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.004506387855019075,-0.004361560019893053,-0.00507706665596324,-0.004443693388639699,-0.0042413246168440605,-0.004526006507271825,0.00028945260559881225,5
Output_1,35,0.021464204788208006,0.007184247507373805,0.000399017333984375,0.00079803466796875,10,0.1,1,rbf,"{'C': 10, 'epsilon': 0.1, 'gamma': 1, 'kernel': 'rbf'}",-0.002254499377578646,-0.002372033456348032,-0.0022935161558378684,-0.002164438354372873,-0.0025208026358133403,-0.002321057995990152,0.00012017881134454636,3
Output_1,36,0.0005984783172607421,0.00048865760142425,0.00039873123168945315,0.0004883479653914794,10,1,0.01,rbf,"{'C': 10, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.04735675437349876,-0.04976907132173697,-0.05063734644974417,-0.04799597629067275,-0.04314973717562626,-0.047781777122255786,0.0025994589478299983,28
